,Week_Number,PHQ4_1 freq,PHQ4_2 freq,PHQ4_3 freq,PHQ4_4 freq
0,18,362.0,358.0,287.0,332.0
1,18,196.0,205.0,253.0,217.0
2,18,81.0,73.0,80.0,80.0
3,18,67.0,62.0,83.0,71.0
4,18,11.0,19.0,14.0,17.0
5,19,464.0,491.0,420.0,490.0
6,19,318.0,329.0,359.0,299.0
7,19,138.0,103.0,114.0,115.0
8,19,106.0,95.0,130.0,114.0
9,19,27.0,35.0,30.0,35.0
10,20,507.0,524.0,421.0,498.0
11,20,263.0,272.0,349.0,289.0
12,20,144.0,133.0,135.0,110.0
13,20,100.0,82.0,109.0,114.0
14,20,33.0,36.0,33.0,36.0
15,21,72.0,76.0,65.0,77.0
16,21,43.0,44.0,50.0,35.0
17,21,21.0,20.0,19.0,23.0
18,21,18.0,14.0,21.0,20.0
19,21,3.0,3.0,2.0,2.0
20,22,431.0,450.0,373.0,457.0
21,22,257.0,231.0,280.0,200.0
22,22,112.0,114.0,111.0,124.0
23,22,85.0,91.0,124.0,106.0
24,22,28.0,27.0,25.0,26.0
25,23,39.0,41.0,37.0,41.0
26,23,23.0,28.0,29.0,22.0
27,23,15.0,11.0,12.0,9.0
28,23,8.0,5.0,8.0,14.0
29,23,4.0,4.0,3.0,3.0
30,24,443.0,454.0,369.0,434.0
31,24,251.0,263.0,328.0,276.0
32,24,156.0,118.0,128.0,126.0
33,24,105.0,115.0,137.0,114.0
34,24,33.0,38.0,26.0,38.0
35,25,3.0,5.0,4.0,4.0
36,25,2.0,,,1.0
37,25,1.0,1.0,2.0,
38,25,1.0,1.0,1.0,2.0
39,26,402.0,414.0,349.0,418.0
40,26,205.0,208.0,235.0,182.0
41,26,87.0,86.0,103.0,90.0
42,26,78.0,67.0,88.0,82.0
43,26,16.0,13.0,13.0,16.0
44,27,80.0,92.0,67.0,85.0
45,27,53.0,58.0,58.0,46.0
46,27,35.0,29.0,39.0,37.0
47,27,30.0,26.0,35.0,35.0
48,27,23.0,16.0,22.0,18.0
49,28,399.0,424.0,369.0,412.0
50,28,267.0,259.0,271.0,247.0
51,28,128.0,108.0,121.0,107.0
52,28,100.0,89.0,128.0,118.0
53,28,19.0,33.0,24.0,29.0
54,29,19.0,22.0,18.0,22.0
55,29,16.0,12.0,14.0,11.0
56,29,2.0,3.0,6.0,6.0
57,29,3.0,3.0,3.0,2.0
58,29,1.0,1.0,,
59,30,434.0,452.0,384.0,457.0
60,30,263.0,267.0,305.0,240.0
61,30,128.0,120.0,104.0,107.0
62,30,98.0,93.0,132.0,119.0
63,30,27.0,18.0,25.0,27.0
64,31,18.0,16.0,18.0,17.0
65,31,8.0,8.0,8.0,7.0
66,31,5.0,7.0,4.0,6.0
67,31,4.0,4.0,5.0,5.0
68,31,2.0,2.0,2.0,2.0
69,32,550.0,580.0,484.0,556.0
70,32,316.0,303.0,342.0,286.0
71,32,131.0,122.0,136.0,134.0
72,32,120.0,110.0,152.0,140.0
73,32,14.0,16.0,17.0,15.0
74,33,2.0,2.0,2.0,3.0
75,33,1.0,1.0,,
76,33,,,1.0,
77,34,421.0,466.0,381.0,463.0
78,34,294.0,264.0,311.0,260.0
79,34,145.0,124.0,123.0,110.0
80,34,108.0,114.0,152.0,137.0
81,34,31.0,31.0,32.0,29.0
82,35,1.0,1.0,1.0,1.0
83,36,436.0,460.0,386.0,442.0
84,36,263.0,273.0,291.0,260.0
85,36,123.0,95.0,132.0,99.0
86,36,106.0,102.0,124.0,132.0
87,36,24.0,22.0,19.0,19.0
88,37,15.0,16.0,13.0,15.0
89,37,3.0,5.0,8.0,7.0
90,37,7.0,9.0,6.0,8.0
91,37,6.0,3.0,5.0,3.0
92,37,2.0,,1.0,
93,38,369.0,371.0,295.0,351.0
94,38,212.0,223.0,278.0,238.0
95,38,92.0,82.0,103.0,84.0
96,38,96.0,96.0,98.0,100.0
97,38,19.0,16.0,14.0,15.0
98,39,28.0,28.0,22.0,27.0
99,39,22.0,22.0,27.0,18.0
100,39,18.0,13.0,11.0,12.0
101,39,10.0,13.0,14.0,18.0
102,39,3.0,5.0,7.0,6.0
103,40,42.0,40.0,36.0,39.0
104,40,25.0,26.0,21.0,21.0
105,40,18.0,19.0,16.0,19.0
106,40,9.0,11.0,23.0,16.0
107,40,3.0,1.0,1.0,2.0
